"","city","amount_awarded","calendar_year"
"1","Atlanta",1970.04,2014
"2","Atlanta",179,2014
"3","Atlanta",100,2014
"4","Atlanta",17500,2014
"5","Atlanta",907,2015
"6","Atlanta",1682,2015
"7","Atlanta",20000,2015
"8","Atlanta",538.5,2015
"9","Atlanta",500,2016
"10","Atlanta",500,2016
"11","Atlanta",1215,2016
"12","Atlanta",1750,2017
"13","Atlanta",500,2017
"14","Atlanta",1300,2017
"15","Atlanta",75000,2017
"16","Atlanta",826.72,2017
"17","Atlanta",50000,2017
"18","Atlanta",182,2018
"19","Atlanta",19000,2018
"20","Atlanta",1205,2018
"21","Atlanta",500,2019
"22","Atlanta",50000,2019
"23","Atlanta",6000,2019
"24","Atlanta",15000,2020
"25","Atlanta",1040,2019
"26","Atlanta",365,2019
"27","Atlanta",130000,2020
"28","Atlanta",30000,2014
"29","Atlanta",2e+05,2014
"30","Atlanta",2e+05,2014
"31","Atlanta",47500,2014
"32","Atlanta",32000,2014
"33","Atlanta",175000,2014
"34","Atlanta",500,2014
"35","Atlanta",25000,2015
"36","Atlanta",7000,2015
"37","Atlanta",20000,2015
"38","Atlanta",60000,2015
"39","Atlanta",7500,2015
"40","Atlanta",160000,2015
"41","Atlanta",200,2015
"42","Atlanta",2e+06,2016
"43","Atlanta",2700,2016
"44","Atlanta",130000,2016
"45","Atlanta",20000,2016
"46","Atlanta",12772,2016
"47","Atlanta",15000,2016
"48","Atlanta",3000,2017
"49","Atlanta",15000,2017
"50","Atlanta",150000,2017
"51","Atlanta",165000,2017
"52","Atlanta",6000,2017
"53","Atlanta",174000,2017
"54","Atlanta",27500,2017
"55","Atlanta",22500,2018
"56","Atlanta",18000,2018
"57","Atlanta",150000,2018
"58","Atlanta",25000,2018
"59","Atlanta",75000,2018
"60","Atlanta",5000,2018
"61","Atlanta",4000,2019
"62","Atlanta",5250,2019
"63","Atlanta",250000,2019
"64","Atlanta",75000,2019
"65","Atlanta",48000,2019
"66","Baltimore",6000,2015
"67","Baltimore",6400000,2015
"68","Baltimore",18000,2015
"69","Baltimore",15000,2015
"70","Baltimore",20000,2016
"71","Baltimore",7000,2016
"72","Baltimore",19000,2016
"73","Baltimore",16045.55,2016
"74","Baltimore",18500,2016
"75","Baltimore",1e+05,2016
"76","Baltimore",24000,2016
"77","Baltimore",1e+05,2016
